Power_Watts,Temperature_C
15.2,36.5
16.8,36.8
18.4,37.2
22.1,39.5
25.6,40.1
28.3,42.0
31.1,43.2
34.5,45.8
37.2,46.1
40.8,47.9
43.5,49.2
45.1,50.1
48.6,51.5
52.3,53.8
55.7,55.1
58.2,56.4
61.4,58.7
64.9,59.9
68.2,61.8
71.5,63.1
75.0,65.5
78.3,66.8
81.6,68.2
85.2,70.5
88.7,72.1
91.4,73.4
94.8,75.0
97.3,76.5
101.2,78.8
105.4,80.2
108.6,81.9
112.1,83.5
115.8,85.1
119.2,86.8
122.5,88.4
125.7,89.5
128.9,90.8
130.2,91.5
115.4,89.1
100.2,84.5
85.6,78.2
70.4,71.5
60.1,65.2
50.3,60.1
40.2,54.8
30.5,48.2
25.1,44.5
20.4,40.1
18.2,38.5
15.8,37.1
